teamname,setups,lowpriority,delays
Oreo,63,2026,490
Oreo,54,1233,1443
Oreo,67,2537,348
Oreo,81,1384,767
Oreo,58,795,1499
Oreo,72,2587,294
Oreo,64,1760,609
Oreo,60,2504,475
Oreo,45,2667,1125
Oreo,43,2669,1120
Oreo,68,999,1145
Oreo,47,2805,955
Oreo,46,1772,1599
Oreo,68,767,1397
Oreo,65,1727,606
Oreo,65,1471,803
Oreo,63,1834,628
Oreo,46,2922,906
Oreo,68,2504,367
Oreo,59,1195,1317
Oreo,53,1608,1021
Oreo,69,2477,400
Oreo,48,2997,830
Oreo,67,2033,456
Oreo,68,1566,695
Oreo,61,1545,847
Oreo,63,2601,330
Oreo,57,1217,1365
Oreo,72,2850,43
Oreo,66,2470,405
Oreo,75,2568,296
Oreo,60,1342,1108
Oreo,58,1880,768
Oreo,69,2692,154
Oreo,65,2695,286
Oreo,50,1587,1436
Oreo,62,739,1672
Oreo,45,2776,1033
Oreo,68,2626,263
Oreo,62,1599,786
Oreo,63,854,1459
Oreo,53,2732,746
Oreo,73,876,1271
Oreo,56,2494,715
Oreo,55,2496,688
Oreo,54,1667,835
Oreo,69,2601,284
Oreo,73,2587,290
Oreo,56,1923,774
Oreo,69,2626,218
Oreo,62,1668,755
Oreo,45,2682,1080
Oreo,59,1329,1242
Oreo,55,1723,799
Oreo,49,1633,945
Oreo,58,2478,479
Oreo,64,2526,362
Oreo,66,674,1488
Oreo,69,2541,300
Oreo,53,1653,836
Oreo,51,1624,1040
Oreo,64,1726,625
Oreo,67,2695,248
Oreo,52,1624,986
Oreo,59,1846,717
Oreo,62,2489,435
Oreo,51,2660,768
Oreo,64,2504,383
Oreo,60,2526,463
Oreo,48,2922,851
Oreo,46,2331,1309
Oreo,74,878,1228
Oreo,66,740,1402
Oreo,57,1132,1436
Oreo,54,1531,1056
Oreo,62,814,1462
Oreo,57,1579,860
Oreo,57,2579,493
Oreo,64,2709,303
Oreo,50,2715,807
Oreo,63,1437,828
Oreo,79,1530,754
Oreo,71,2850,118
Oreo,62,1621,757
Oreo,55,2571,615
Oreo,53,1629,942
Oreo,60,1514,925
Oreo,70,2850,142
Oreo,45,2805,965
Oreo,60,1552,867
Oreo,55,1425,1144
Oreo,56,1037,1624
Oreo,68,1643,647
Oreo,43,2631,1167
Oreo,49,1583,1585
Oreo,66,2599,342
Oreo,44,2821,1064
Oreo,70,2382,375
Oreo,70,721,1367
Oreo,74,2440,372
Oreo,71,1823,537
Oreo,74,2678,123
Oreo,58,1975,691
Oreo,61,1109,1036
Oreo,65,678,1541
Oreo,67,630,1741
Oreo,64,1889,565
Oreo,57,1232,1257
